Country,Happiness Score,Economy,SocialSupport,Health,Freedom,Generosity,GovernmentTrust
Libya,5.615,1.067,0.951,0.523,0.407,0.171,0.103
Latvia,5.56,1.218,0.95,0.64,0.28,0.174,0.089
Cyprus,5.546,1.319,0.707,0.849,0.295,0.279,0.052
Paraguay,5.538,0.894,1.111,0.583,0.462,0.253,0.074
Romania,5.528,1.17,0.728,0.676,0.367,0.129,0.007
Estonia,5.517,1.28,1.052,0.681,0.415,0.084,0.185
Jamaica,5.51,0.893,0.964,0.595,0.436,0.222,0.043
Croatia,5.488,1.186,0.608,0.705,0.239,0.184,0.04
Hong Kong,5.458,1.511,0.87,0.953,0.481,0.401,0.316
Somalia,5.44,0.0,0.336,0.115,0.568,0.272,0.312
Kosovo,5.401,0.901,0.661,0.54,0.144,0.28,0.065
Turkey,5.389,1.165,0.877,0.647,0.239,0.047,0.123
Indonesia,5.314,0.951,0.876,0.494,0.392,0.565,0.003
Jordan,5.303,0.997,0.862,0.607,0.36,0.143,0.133
Azerbaijan,5.291,1.124,0.76,0.545,0.353,0.056,0.179
Philippines,5.279,0.812,0.879,0.47,0.549,0.217,0.118
China,5.245,1.028,0.794,0.736,0.44,0.05,0.027
Bhutan,5.196,0.853,0.908,0.498,0.461,0.485,0.162
Kyrgyzstan,5.185,0.56,0.954,0.554,0.402,0.384,0.048
Serbia,5.177,1.034,0.813,0.646,0.157,0.207,0.043
Bosnia and Herzegovina,5.163,0.934,0.644,0.708,0.095,0.299,0.0
Montenegro,5.161,1.078,0.742,0.635,0.151,0.172,0.127
Dominican Republic,5.155,1.028,0.995,0.577,0.523,0.213,0.124
Morocco,5.151,0.841,0.386,0.595,0.256,0.041,0.084
Hungary,5.145,1.241,0.932,0.676,0.198,0.099,0.045
Pakistan,5.132,0.688,0.261,0.403,0.146,0.312,0.139
Lebanon,5.129,1.123,0.642,0.762,0.262,0.237,0.031
Portugal,5.123,1.276,0.944,0.794,0.447,0.117,0.015
North Macedonia,5.121,1.019,0.782,0.647,0.277,0.235,0.07
Vietnam,5.061,0.74,0.791,0.662,0.56,0.251,0.116
Somaliland Region,5.057,0.256,0.759,0.331,0.391,0.515,0.368
Tunisia,5.045,0.977,0.432,0.596,0.236,0.039,0.082
Greece,5.033,1.249,0.755,0.8,0.058,0.0,0.041
Tajikistan,4.996,0.488,0.756,0.531,0.434,0.26,0.135
Mongolia,4.907,0.989,1.09,0.555,0.36,0.345,0.033
Laos,4.876,0.68,0.55,0.383,0.522,0.431,0.224
Nigeria,4.875,0.752,0.645,0.051,0.279,0.232,0.03
Honduras,4.871,0.694,0.756,0.584,0.268,0.204,0.069
Iran,4.813,1.118,0.389,0.642,0.225,0.385,0.056
Zambia,4.795,0.612,0.638,0.236,0.427,0.179,0.115
Nepal,4.793,0.446,0.697,0.501,0.37,0.382,0.07
Palestinian Territories,4.754,0.67,0.716,0.568,0.177,0.112,0.106
Albania,4.655,0.955,0.502,0.73,0.319,0.168,0.053
Bangladesh,4.643,0.542,0.247,0.53,0.398,0.191,0.126
Sierra Leone,4.635,0.365,0.628,0.0,0.307,0.239,0.082
Iraq,4.575,1.075,0.592,0.511,0.249,0.196,0.136
Namibia,4.574,0.933,0.704,0.347,0.486,0.078,0.104
Cameroon,4.513,0.525,0.625,0.127,0.427,0.227,0.061
Ethiopia,4.508,0.293,0.379,0.346,0.367,0.295,0.172
South Africa,4.459,1.024,0.961,0.186,0.425,0.137,0.084
Sri Lanka,4.415,0.973,0.848,0.62,0.508,0.47,0.08
India,4.404,0.74,0.292,0.451,0.403,0.25,0.087
Myanmar,4.395,0.341,0.7,0.399,0.427,0.82,0.202
Egypt,4.362,0.954,0.498,0.521,0.188,0.127,0.104
Armenia,4.36,0.861,0.625,0.641,0.14,0.078,0.036
Kenya,4.356,0.523,0.762,0.301,0.406,0.413,0.067
Ukraine,4.324,0.873,1.014,0.586,0.129,0.204,0.018
Ghana,4.276,0.631,0.494,0.297,0.41,0.212,0.033
Congo (Kinshasa),4.272,0.057,0.807,0.188,0.156,0.255,0.061
Georgia,4.252,0.838,0.192,0.64,0.325,0.068,0.319
Congo (Brazzaville),4.236,0.771,0.478,0.282,0.379,0.121,0.098
Senegal,4.219,0.443,0.774,0.405,0.311,0.191,0.117
Bulgaria,4.217,1.113,0.925,0.678,0.212,0.128,0.006
Mauritania,4.201,0.614,0.841,0.286,0.127,0.227,0.18
Zimbabwe,4.193,0.35,0.715,0.16,0.254,0.185,0.086
Malawi,4.156,0.087,0.147,0.294,0.414,0.31,0.076
Sudan,4.139,0.631,0.819,0.298,0.0,0.181,0.1
Gabon,4.121,1.159,0.724,0.349,0.281,0.062,0.093
Mali,4.073,0.313,0.863,0.163,0.275,0.211,0.136
Haiti,4.028,0.341,0.296,0.275,0.121,0.48,0.145
Botswana,3.974,1.094,0.892,0.348,0.441,0.124,0.108
Comoros,3.956,0.275,0.603,0.3,0.154,0.183,0.184
Ivory Coast,3.916,0.555,0.576,0.045,0.407,0.203,0.155
Cambodia,3.907,0.556,0.538,0.425,0.589,0.403,0.081
Angola,3.866,0.847,0.664,0.05,0.006,0.121,0.084
Niger,3.856,0.133,0.605,0.262,0.38,0.21,0.172
South Sudan,3.832,0.394,0.185,0.158,0.197,0.259,0.13
Chad,3.763,0.422,0.632,0.038,0.128,0.187,0.05
Burkina Faso,3.739,0.32,0.631,0.213,0.334,0.244,0.125
Uganda,3.739,0.347,0.91,0.196,0.437,0.271,0.064
Yemen,3.724,0.579,0.475,0.31,0.229,0.098,0.059
Madagascar,3.695,0.28,0.461,0.371,0.137,0.22,0.075
Tanzania,3.666,0.472,0.776,0.357,0.318,0.315,0.051
Liberia,3.622,0.107,0.504,0.232,0.257,0.241,0.049
Guinea,3.607,0.224,0.311,0.188,0.31,0.299,0.119
Rwanda,3.515,0.328,0.616,0.319,0.543,0.236,0.505
Benin,3.484,0.395,0.104,0.21,0.397,0.202,0.067
Afghanistan,3.36,0.382,0.11,0.173,0.164,0.313,0.071
Togo,3.303,0.281,0.0,0.248,0.347,0.175,0.116
Syria,3.069,0.747,0.149,0.63,0.069,0.484,0.172
Burundi,2.905,0.068,0.234,0.157,0.043,0.203,0.094
